Metacritic Score [binned],Sports,Misc,Puzzle,Platform,Role-Playing,Shooter,Action,Simulation,Fighting,Racing,Adventure,Strategy
75-79,179.12,66.65,31.83,51.41,62.86,94.47,163.96,33.75,40.59,39.46,10.89,11.45
80-84,281.47,47.79,19.22,43.38,95.86,190.04,181.85,30.71,46,128.31,21.99,13.45
85-89,142.49,33.35,15.19,98.86,109.59,179.56,159.85,41.72,40.66,94.42,14.11,14.35
55-59,17.64,54.69,2.37,13.11,9.35,12.98,61.04,10.65,9.32,20.98,5.17,2.93
90-94,88.67,22.5,0.04,47.83,111.97,121.05,132.59,2.81,35.25,61.62,1.07,11.66
60-64,26.46,54.01,6.99,20.77,16.39,27.25,85.52,12.29,9.02,33.62,8.43,2.49
95-99,15.5,0,0,24.68,11.89,33.97,187.11,0,7.5,25.93,0,0
70-74,58.78,100.84,10.55,43.55,38.64,98.86,140.77,39.81,38.74,41.14,11.94,6.28
65-69,46.72,42.2,6.19,25.02,33.44,44.58,78.02,33.83,16.33,30.06,10.89,5.88
45-49,6.96,18.33,0.96,7.34,3,7.89,22.81,3.54,3.26,6.91,1.7,1.35
50-54,11.76,6.38,2.09,14.11,9.57,8.14,30.7,2.4,4.29,14.34,5.26,0.76
25-29,0.47,4.94,0.2,,0,0.24,2.02,0,0.67,0.74,0.4,0
40-44,7.62,2.26,2.51,3.37,1.57,4.2,12.83,2.15,1.58,4.64,0.63,1.46
30-34,2.2,1.65,0.04,1.26,0,1.76,3.9,0.72,1.05,1.13,0.11,0
35-39,4.72,2.41,1.99,0.75,0.47,3.13,7.95,0.07,0.55,1.98,2.82,0.13
20-24,0.31,1.7,0,0,0,0.07,0.23,0,0.26,0.1,0,0
15-19,0.13,0.22,0,0.07,0,0,0.14,0,0,0.06,0.1,0
10-14,0,0,0,0,0,0,0,0,0,0.04,0,0
