Metacritic Score [binned],EU Sales,JP Sales,NA Sales,Other Sales
10-14,0.01,0,0.02,0.01
15-19,0.15,0,0.51,0.06
20-24,0.65,0,1.78,0.23
25-29,2.11,0,6.71,0.84
30-34,3.38,0.71,8.43,1.27
35-39,7.06,0.63,16.9,2.24
40-44,12.96,0.72,26.17,4.86
45-49,23.19,3.24,49.45,8.14
50-54,30.72,4.39,64.14,10.46
55-59,62.73,18.23,117.76,21.27
60-64,85.6,19.36,166.81,31.17
65-69,106.16,34.25,194.19,38.07
70-74,189.1,45.6,329.33,65.47
75-79,238.37,69.27,400.44,78.14
80-84,348.73,90.4,539.63,121.12
85-89,298.39,84.4,458.59,102.71
90-94,188.28,57.36,327.77,63.76
95-99,91.36,16.63,160.16,38.42
